圖片檔名,卡牌名稱,正位牌義關鍵字,逆位牌義關鍵字
Justice_MeowsticTarot.png,正義,公平 誠實 決定 因果 法律 責任 平衡 客觀,不公 偏見 法律糾紛 不願承擔 逃避責任 不正當行為
The_Hanged_Man_MeowsticTarot.png,倒吊人,犧牲 換個角度 停滯 臣服 放手 內在平靜 等待,無謂犧牲 掙扎 拖延 拒絕改變 徒勞無功 焦躁不安
Death_MeowsticTarot.png,死神,結束 轉變 新生 放手 必然的改變 淘汰 告別,抗拒改變 停滯 苟延殘喘 恐懼結束 重新起步困難
Temperance_MeowsticTarot.png,節制,平衡 協調 融合 淨化 耐心 溝通 節制 自我控制,失衡 衝突 缺乏耐心 溝通不良 過度消耗 無法融入
The_Devil_MeowsticTarot.png,惡魔,束縛 慾望 物質主義 執著 誘惑 陰暗面 沉迷,解脫 覺醒 擺脫束縛 面對陰暗 克服誘惑 精神重獲自由
The_Tower_MeowsticTarot.png,高塔,劇變 崩毀 意外 幻滅 覺醒 突破 解放 震驚,避免災難 延緩危機 重建期 害怕改變 餘波盪漾
The_Star_MeowsticTarot.png,星星,希望 信心 靈感 療癒 寧靜 樂觀 前景光明 自然,失望 失去信心 靈感枯竭 焦慮 悲觀 缺乏方向
The_Moon_MeowsticTarot.png,月亮,不安 恐懼 幻覺 潛意識 欺騙 直覺 混亂 秘密,消除恐懼 誤會冰釋 真相大白 直覺復甦 擺脫陰影
The_Sun_MeowsticTarot.png,太陽,喜悅 成功 活力 溫暖 自信 明朗 榮耀 真理,暫時受挫 缺乏活力 虛榮 驕傲過度 延遲的成功
Judgement_MeowsticTarot.png,審判,覺醒 呼喚 決定 業力 評估 解放 新生 自省,逃避呼喚 自我懷疑 遲疑決策 悔恨 拒絕反省
The_World_MeowsticTarot.png,世界,完成 圓滿 旅行 統合 成功 自由 達成目標 終點,未完成 延遲 挫折 缺乏進展 完美主義 停滯不前
Ace_of_Cups_MeowsticTarot.png,聖杯首牌,情感開始 愛 直覺 喜悅 滿溢的感情 心靈滿足,情感壓抑 失望 缺乏愛 直覺受阻 虛情假意
2_of_Cups_MeowsticTarot.png,聖杯二,結合 伴侶 吸引力 平等 合作 和諧 情感契合,情感衝突 關係破裂 不平等 溝通不良 拒絕合作
3_of_Cups_MeowsticTarot.png,聖杯三,慶祝 友誼 社群 分享 喜悅 聚會 三人行,孤立 社交排斥 過度放縱 朋友圈分裂 八卦糾紛
4_of_Cups_MeowsticTarot.png,聖杯四,冷漠 沉思 厭倦 錯過機會 退縮 不滿現狀 沉浸自我,重新出發 接受機會 擺脫倦怠 轉念 重新關注外界
5_of_Cups_MeowsticTarot.png,聖杯五,悲傷 失去 失望 專注失去的部分 遺憾 沮喪 情感低潮,走出陰霾 接受失去 重獲希望 發現機會 療癒期
6_of_Cups_MeowsticTarot.png,聖杯六,懷舊 童年 回憶 安全感 分享 贈予 純真 舊識重逢,沉迷過去 無法前進 幼稚 脫離現實 遺忘初衷
7_of_Cups_MeowsticTarot.png,聖杯七,幻想 選擇 混亂 白日夢 誘惑 缺乏焦點 眾多機會,釐清方向 做出選擇 真相大白 擺脫幻想 採取行動
8_of_Cups_MeowsticTarot.png,聖杯八,離去 放手 尋求精神意義 放棄物質 追尋自我 轉移目標,停留原地 害怕改變 拒絕放手 迷失方向 缺乏勇氣
9_of_Cups_MeowsticTarot.png,聖杯九,滿足 願望實現 享樂 自滿 物質與精神富足 美夢成真,不滿足 貪婪 物質過度 自大 願望落空 虛假快樂
10_of_Cups_MeowsticTarot.png,聖杯十,家庭和諧 幸福 圓滿的愛 社群支持 情感巔峰 平安,家庭衝突 關係疏離 缺乏和諧 期待落空 情感不睦
Page_of_Cups_MeowsticTarot.png,聖杯侍從,敏感 消息 直覺 藝術氣息 溫柔 好奇心 情感萌芽,情緒化 幼稚 壞消息 幻想過度 情感勒索 逃避現實
Knight_of_Cups_MeowsticTarot.png,聖杯騎士,浪漫 追求 邀請 魅力 調停者 情感表達 追隨直覺,虛情假意 情緒化 逃避 承諾落空 嫉妒 缺乏誠意
Queen_of_Cups_MeowsticTarot.png,聖杯皇后,直覺 溫柔 體貼 同理心 母親般溫暖 情感豐富,情緒起伏 依賴 敏感過度 情感勒索 缺乏理智 焦慮
King_of_Cups_MeowsticTarot.png,聖杯國王,情感成熟 寬容 掌控情緒 智慧 調解 穩重 藝術品味,情緒失控 操縱情感 虛偽 冷酷 軟弱無能 濫好人
Ace_of_Pentacles_MeowsticTarot.png,金幣首牌,新起點 豐盛 物質機會 繁榮 穩定 實用 財富,失去機會 財務問題 浪費 物質匱乏 貪婪 延遲
2_of_Pentacles_MeowsticTarot.png,金幣二,平衡 適應 變動 娛樂 多工處理 財務調度 靈活性,失去平衡 壓力過大 財務混亂 缺乏適應力 盲目應付
3_of_Pentacles_MeowsticTarot.png,金幣三,團隊合作 專業技能 建造 認可 協調 學習 穩健發展,缺乏合作 技能不足 溝通障礙 品質粗糙 缺乏方向
4_of_Pentacles_MeowsticTarot.png,金幣四,守財 控制 安全感 保守 固執 占有慾 物質保護,浪費 失去控制 願意分享 財務危機 固執放手
5_of_Pentacles_MeowsticTarot.png,金幣五,匱乏 困境 孤立 財務危機 疾病 尋求支持 邊緣化,走出困境 財務改善 重獲支持 復原 找到庇護所
6_of_Pentacles_MeowsticTarot.png,金幣六,慈善 給予與接受 分享 平衡 慷慨 互助 資源分配,自私 債務糾紛 不平等分配 虛情假意 依賴他人
7_of_Pentacles_MeowsticTarot.png,金幣七,評估 投資 等待 收穫 思考下一步 暫停 耐心,缺乏耐心 投資失敗 徒勞無功 評估錯誤 停滯不前
8_of_Pentacles_MeowsticTarot.png,金幣八,專注 磨練技能 勤奮 工作 完美主義 職人精神 學習,粗心大意 厭倦工作 缺乏技能 走捷徑 完美主義受挫
9_of_Pentacles_MeowsticTarot.png,金幣九,獨立 物質富足 享受 自足 優雅 成果 寧靜,過度消費 失去獨立 財務危機 虛榮 孤寂 物質束縛
10_of_Pentacles_MeowsticTarot.png,金幣十,家族 傳承 長期穩定 財富 繁榮 安全感 圓滿 成就,家庭糾紛 財務損失 遺產問題 缺乏保障 短視近利
Page_of_Pentacles_MeowsticTarot.png,金幣侍從,學習 實用 消息 機會 專注 物質計畫 開始積累,缺乏目標 延遲 浪費 學習不專心 財務損失 幼稚
Knight_of_Pentacles_MeowsticTarot.png,金幣騎士,穩健 耐心 責任感 勤奮 守信 保守 腳踏實地,停滯 懶惰 頑固 缺乏活力 墨守成規 責任心缺失
Queen_of_Pentacles_MeowsticTarot.png,金幣皇后,溫柔 慷慨 實用 安全感 母親般關懷 繁榮 物質管理,自私 財務焦慮 過度保護 虛榮 缺乏安全感 浪費
King_of_Pentacles_MeowsticTarot.png,金幣國王,成功 財務穩定 領導力 實用 商業頭腦 慷慨 掌控物質,貪婪 專制 財務失敗 缺乏商業眼光 傲慢 守財奴
Ace_of_Swords_MeowsticTarot.png,寶劍首牌,突破 理智 勝利 真相 決心 精神力量 新觀點,混亂 決策失誤 濫用權力 阻礙 思考受阻 衝突
2_of_Swords_MeowsticTarot.png,寶劍二,逃避 抉擇 僵局 封閉自我 逃避決策 兩難 平衡,解除防衛 做出選擇 真相顯現 混亂 突破僵局
3_of_Swords_MeowsticTarot.png,寶劍三,傷心 痛苦 悲傷 失去 背叛 情感撕裂 衝突 療癒起點,療癒期 釋放痛苦 拒絕原諒 舊傷復發 悲傷延續
4_of_Swords_MeowsticTarot.png,寶劍四,休息 冥想 復原 暫停 內省 避難所 沉思,重新行動 焦躁 復甦 缺乏休息 強迫工作 精神崩潰
5_of_Swords_MeowsticTarot.png,寶劍五,衝突 贏了面子輸了裡子 失敗 自私 敵意 爭吵 挫敗,尋求和解 衝突結束 雙輸局面 怨恨不消 拒絕妥協
6_of_Swords_MeowsticTarot.png,寶劍六,渡過難關 漸漸復原 旅行 尋求平靜 釋放壓力 轉變期,停滯不前 困在過去 困難重重 拒絕前進 溝通障礙
7_of_Swords_MeowsticTarot.png,寶劍七,欺騙 逃避 獨立行事 秘密 計謀 投機取巧 孤軍奮戰,坦白 拆穿謊言 回歸正軌 計劃敗露 重新面對 勇敢
8_of_Swords_MeowsticTarot.png,寶劍八,受困 孤立 限制 思想囚牢 盲目 束縛 焦慮 無助,解脫 覺醒 自我解放 面對現實 突破限制 找到出路
9_of_Swords_MeowsticTarot.png,寶劍九,焦慮 噩夢 擔憂 絕望 壓力 過度思考 失眠 自責,釋放壓力 走出陰霾 尋求幫助 重建信心 逐漸康復
10_of_Swords_MeowsticTarot.png,寶劍十,谷底 結束 毀滅 失敗 背叛 解脫 新生的起點,置之死地而後生 掙扎 延遲的結束 復原期 害怕失敗
Page_of_Swords_MeowsticTarot.png,寶劍侍從,警惕 好奇 訊息 敏銳 學習 理智 收集情報 溝通,八卦 懷疑 敵意 缺乏準備 虛張聲勢 幼稚言行
Knight_of_Swords_MeowsticTarot.png,寶劍騎士,急躁 理智 衝刺 衝突 勇往直前 挑戰 銳不可擋,魯莽 橫衝直撞 衝突加劇 計劃失敗 脾氣暴躁 散漫
Queen_of_Swords_MeowsticTarot.png,寶劍皇后,理智 獨立 誠實 敏銳 判斷力 邊界感 冷靜 智慧,冷酷 刻薄 偏見 情緒化 過度批判 孤立自我
King_of_Swords_MeowsticTarot.png,寶劍國王,權威 理性 智識 秩序 專業 法律 公正 決斷力,專制 傲慢 濫用權力 殘忍 偏見 缺乏同理心
Ace_of_Wands_MeowsticTarot.png,權杖首牌,新計畫 行動力 激情 靈感 冒險 開始 創造力,缺乏動力 延遲 缺乏靈感 虎頭蛇尾 衝動行事
2_of_Wands_MeowsticTarot.png,權杖二,規劃 決策 遠見 探索 掌控 跨出第一步 展望未來,規劃不周 猶豫不決 局限安全區 害怕未知 延誤時機
3_of_Wands_MeowsticTarot.png,權杖三,擴展 遠瞻 合作 探索 成功在望 商業旅行 前瞻性,進展受阻 回歸本處 合作失敗 視野狹隘 缺乏耐性
4_of_Wands_MeowsticTarot.png,權杖四,慶祝 和諧 繁榮 社群 安全感 穩定 回家 喜悅,缺乏穩定 關係不和 暫時停滯 缺乏安全感 家庭糾紛
5_of_Wands_MeowsticTarot.png,權杖五,衝突 競爭 混亂 意見分歧 挑戰 活力 競爭對手,避免衝突 妥協 達成共識 混亂結束 惡性競爭
6_of_Wands_MeowsticTarot.png,權杖六,勝利 榮耀 認同 成功 自信 帶領 凱旋歸來,缺乏認同 延遲的成功 驕傲自滿 失敗 失去支持
7_of_Wands_MeowsticTarot.png,權杖七,防守 堅持 挑戰 勇氣 孤軍奮戰 克服障礙 保護成果,妥協 放棄 壓力過大 失去防線 猶豫不決 自我懷疑
8_of_Wands_MeowsticTarot.png,權杖八,迅速 行動 快速變化 旅行 訊息 執行力 目標明確,延誤 混亂 阻礙 衝動出錯 計劃停滯 溝通中斷
9_of_Wands_MeowsticTarot.png,權杖九,防備 堅持 韌性 最後防線 疲憊 警惕 考驗,防線崩潰 放棄 疲憊不堪 拒絕防備 頑固不化 舊傷復發
10_of_Wands_MeowsticTarot.png,權杖十,負擔 壓力責任 過度勞累 堅持 目標在望 重擔,釋放壓力 崩潰 拒絕承擔 責任轉移 過度操勞致病
Page_of_Wands_MeowsticTarot.png,權杖侍從,熱情 消息 好奇心 冒險精神 新計劃 學習 熱情洋溢,缺乏熱情 壞消息 幼稚 延遲 缺乏耐心 虎頭蛇尾
Knight_of_Wands_MeowsticTarot.png,權杖騎士,衝勁 冒險 挑戰 改變 迅速 激情 勇敢 追求目標,魯莽 衝動 延誤 脾氣暴躁 失去方向 計劃夭折
Queen_of_Wands_MeowsticTarot.png,權杖皇后,熱情 自信 魅力 溫暖 獨立 社交能力 強大意志力,嫉妒 傲慢 脾氣暴躁 情緒化 缺乏自信 掌控慾強
King_of_Wands_MeowsticTarot.png,權杖國王,領導力 願景 勇氣 創業家精神 尊嚴 決策力 權威,專制 獨裁 脾氣暴躁 缺乏遠見 行動受阻 傲慢
